rank,district,2011,2012,2013,2014,2015,2016,avg,div1
1,BUGIRI,9.68,10.27,24.9,23.74,16.69,29.33,19.1,0.71
2,BUKWO,7.04,7.74,20.19,20.76,21.59,30.16,17.9,12.65
3,BUNDIBUGYO,11.09,10.5,20.03,17.2,18.68,34.25,18.6,15.34
4,BULAMBULI,13.89,13.37,15.41,15.04,15.32,25.67,16.5,12.39
5,SIRONKO,8.66,10.33,20.38,13.08,16.96,23.27,15.4,15.89
6,BUSIA,6.7,10.44,17.91,12.46,19.8,26.18,15.6,13.66
7,MANAFWA,9.53,11.37,16.9,14.48,13.71,22.39,14.7,14.03
8,BUYENDE,10.9,8.64,12.47,14.84,18.69,24.88,15.1,11.01
9,MBALE,7.4,10.59,14.56,13.63,16.6,20.06,13.8,9.15
10,ADJUMANI,6.98,9.33,15.85,16.95,12.68,12.96,12.5,9.71
11,BUTALEJA,6.82,7.95,13.6,14.22,18.23,31.44,15.4,7.6
12,BUDUDA,9.9,13.79,15.96,10.63,11.34,28.32,15.0,8.64
13,KWEEN,7.84,8.74,16.3,11.15,13.83,33.38,15.2,7.79
14,IGANGA,7.46,9.02,14.52,11.77,14.36,18.59,12.6,5.98
15,BULIISA,2.1,3.5,16.08,12.32,18.84,20.00,12.1,8.51
16,NAKAPIRIPIRIT,7.93,5.55,16.28,9.1,16.7,20.89,12.7,7.69
17,MAYUGE,5.17,6.08,14.13,11.64,15.13,21.90,12.3,8.8
18,NEBBI,7.1,11.43,14.22,10.5,10.32,15.98,11.6,8.39
19,ZOMBO,6.67,8.8,18.97,10.31,9.14,18.61,12.1,8.65
20,YUMBE,8.57,12.27,13.67,9,9.67,14.42,11.3,7.74
21,UGANDA,4.27,5.04,9.05,7.17,9.62,12.59,7.84,0